Date,Open,High,Low,Close,Volume,SGOL Percent Change
2014-10-06,117.38,118.48,117.22,118.3,27610,0.012582384661473878
2014-10-07,118.66,118.93,118.5,118.69,14118,0.003296703296703285
2014-10-08,119.31,119.97,118.24,119.78,20913,0.00918358749684045
2014-10-09,120.16,120.52,119.86,119.97,18739,0.0015862414426448534
2014-10-10,119.96,120.0,119.56,119.94,69070,-0.0002500625156288683
2014-10-13,120.52,120.99,120.3,120.82,22797,0.007337001834250456
2014-10-14,120.88,121.1,120.7,120.92,18853,0.0008276775368316613
2014-10-15,121.54,122.35,121.22,121.3,34493,0.003142573602381793
2014-10-16,121.39,121.97,121.31,121.53,26276,0.0018961253091509533
2014-10-17,121.34,121.53,120.85,121.35,16139,-0.0014811157738831016
2014-10-20,121.98,122.19,121.94,122.18,10886,0.006839719818706236
2014-10-21,122.59,122.85,122.24,122.37,144219,0.0015550826649206595
2014-10-22,122.0,122.09,121.62,121.67,31405,-0.005720356296477935
2014-10-23,121.0,121.0,120.23,120.78,40098,-0.007314868085805837
2014-10-24,120.89,120.92,120.45,120.65,22697,-0.0010763371419109102
2014-10-27,120.43,120.65,120.39,120.48,75945,-0.001409034397016229
2014-10-28,120.76,120.76,120.38,120.4,13035,-0.0006640106241699861
2014-10-29,119.99,120.21,118.66,118.73,18155,-0.013870431893687751
2014-10-30,118.03,118.08,117.28,117.46,35452,-0.010696538364356134
2014-10-31,113.98,115.11,113.86,114.84,74807,-0.02230546569044778
2014-11-03,114.61,114.84,114.23,114.3,55098,-0.004702194357366851
2014-11-04,114.3,114.89,114.3,114.37,16542,0.0006124234470692436
2014-11-05,112.1,112.95,111.81,111.98,67031,-0.020897088397306973
2014-11-06,112.1,112.43,111.91,112.05,79821,0.0006251116270761248
2014-11-07,112.93,115.31,112.9,115.11,39246,0.027309236947791193
2014-11-10,114.35,114.35,112.43,112.58,21339,-0.02197897663104853
2014-11-11,113.21,114.81,113.08,114.23,23700,0.014656244448392197
2014-11-12,114.23,114.31,113.43,113.65,18508,-0.005077475269193665
2014-11-13,114.07,114.46,113.54,113.85,23327,0.001759788825340891
2014-11-14,112.89,116.89,112.89,116.73,67820,0.02529644268774711
2014-11-17,116.2,116.43,115.92,116.28,31631,-0.0038550501156515704
