Date,Open,High,Low,Close,Volume,IJS Percent Change
2014-05-27,111.45,112.53,111.2,112.24,110216,0.012722187133447527
2014-05-28,112.13,112.13,111.26,111.5,78915,-0.006593014967925859
2014-05-29,111.96,112.03,111.22,111.74,65420,0.0021524663677130462
2014-05-30,111.77,112.09,111.26,111.54,71074,-0.0017898693395380638
2014-06-02,111.68,111.71,110.42,111.19,132915,-0.0031378877532723948
2014-06-03,110.52,111.03,110.01,110.71,153776,-0.00431693497616692
2014-06-04,110.2,111.17,110.2,111.02,136960,0.0028001083912925218
2014-06-05,111.36,113.51,110.73,113.45,211223,0.021887948117456313
2014-06-06,113.95,114.78,113.84,114.4,110201,0.008373732921992172
2014-06-09,114.25,115.71,114.15,115.21,94913,0.007080419580419495
2014-06-10,114.97,115.05,114.31,114.81,172316,-0.0034719208402047563
2014-06-11,114.26,114.49,113.56,114.0,251085,-0.007055134570159383
2014-06-12,113.75,113.75,112.97,113.34,156568,-0.0057894736842104555
2014-06-13,113.49,113.77,112.82,113.44,73606,0.0008823010411151966
2014-06-16,113.35,113.67,112.84,113.52,240184,0.000705218617771397
2014-06-17,113.45,114.63,113.31,114.35,82266,0.007311486962649827
2014-06-18,114.33,114.95,113.8,114.93,86193,0.005072146917359133
2014-06-19,115.24,115.3,114.44,114.86,66865,-0.0006090663882364344
2014-06-20,115.05,115.15,114.64,115.08,50463,0.0019153752394218682
2014-06-23,115.37,115.37,114.59,114.81,53979,-0.002346193952033282
2014-06-24,114.27,115.35,113.6,113.62,107766,-0.010364950788258831
2014-06-25,113.23,114.47,112.97,114.41,79067,0.006953001232177458
2014-06-26,114.46,114.46,113.47,114.14,81831,-0.0023599335722401804
2014-06-27,113.99,115.13,113.65,115.11,77029,0.00849833537760647
2014-06-30,115.0,115.54,114.4,115.43,69441,0.002779949613413324
2014-07-01,115.78,117.65,115.78,116.68,818785,0.010829073897600239
2014-07-02,116.57,117.01,116.06,116.17,249886,-0.00437092903668157
2014-07-03,116.77,117.04,116.5,117.04,74534,0.0074890247051735415
2014-07-07,116.57,116.57,115.39,115.41,129387,-0.013926862611073232
2014-07-08,115.2,115.35,114.03,114.62,244605,-0.0068451607313056995
2014-07-09,115.0,115.25,114.26,114.61,123499,-8.724480893396169e-05
2014-07-10,112.74,114.12,112.5,113.59,90282,-0.00889974696797835
2014-07-11,113.44,113.5,112.76,113.17,78075,-0.0036975085835020405
2014-07-14,114.16,114.24,113.58,113.75,83738,0.005125033135989998
2014-07-15,113.72,114.12,112.41,112.99,100694,-0.006681318681318715
2014-07-16,113.62,113.62,112.56,113.08,75544,0.0007965306664305949
2014-07-17,112.51,112.89,111.43,111.59,168601,-0.01317651220374949
2014-07-18,111.84,113.29,111.83,113.11,60557,0.013621292230486581
2014-07-21,112.65,112.8,112.01,112.63,69380,-0.004243656617452074
2014-07-22,113.27,114.0,113.1,113.59,89416,0.00852348397407443
2014-07-23,113.7,113.78,113.08,113.32,74081,-0.0023769698036799625
2014-07-24,113.57,114.17,112.82,113.13,70298,-0.001676667843275692
2014-07-25,112.45,112.45,111.8,112.0,83817,-0.009988508795191309
2014-07-28,112.26,112.26,110.96,111.76,101218,-0.002142857142857113
2014-07-29,111.97,112.43,111.51,111.67,174942,-0.000805297065139654
2014-07-30,112.48,112.48,111.41,111.8,78633,0.0011641443538998875
2014-07-31,110.58,111.14,109.58,109.58,113132,-0.019856887298747794
2014-08-01,109.63,110.09,108.8,109.53,93651,-0.000456287643730624
2014-08-04,110.0,110.39,108.69,110.36,180286,0.007577832557290165
2014-08-05,109.8,110.81,109.42,110.01,227975,-0.003171438927147441
2014-08-06,109.49,111.0,109.49,110.44,119101,0.00390873556949356
2014-08-07,110.8,111.03,109.53,109.9,219195,-0.004889532777978878
2014-08-08,110.01,110.91,109.82,110.8,81271,0.008189262966332933
2014-08-11,111.32,112.6,111.14,111.84,251307,0.009386281588447787
2014-08-12,111.5,111.99,110.76,111.17,87802,-0.0059907010014306206
2014-08-13,111.52,112.14,111.37,111.75,96595,0.005217234865521281
2014-08-14,111.85,112.17,111.65,112.03,175065,0.002505592841163251
2014-08-15,112.68,112.88,110.95,111.86,77532,-0.0015174506828528056
2014-08-18,112.77,113.41,112.59,113.38,61959,0.01358841408903988
2014-08-19,113.51,114.09,113.43,113.88,67787,0.004409948844593448
2014-08-20,113.43,113.5,112.81,113.3,87658,-0.005093080435546127
2014-08-21,113.24,113.99,112.47,113.86,70934,0.004942630185348573
2014-08-22,113.73,114.02,113.21,113.68,66179,-0.0015808888108201913
2014-08-25,114.17,114.44,113.41,113.79,54499,0.0009676284306825433
2014-08-26,113.86,114.69,113.86,114.54,66561,0.006591088847877735
2014-08-27,114.64,114.7,114.27,114.43,57839,-0.0009603631918980726
2014-08-28,113.97,114.17,113.57,113.83,39743,-0.005243380232456629
2014-08-29,114.14,114.59,113.67,114.47,41095,0.005622419397346867
2014-09-02,114.76,115.25,114.37,114.96,61286,0.004280597536472364
2014-09-03,115.51,115.51,114.36,114.46,65438,-0.004349338900487165
2014-09-04,114.69,115.44,114.08,114.34,104294,-0.0010484011881879418
2014-09-05,114.03,114.59,113.73,114.58,46205,0.0020990029735874494
2014-09-08,114.51,114.87,114.04,114.58,41680,0.0
2014-09-09,114.42,114.42,113.24,113.31,53244,-0.011083958806074379
2014-09-10,113.27,113.6,112.69,113.52,45108,0.001853322742917607
2014-09-11,112.86,114.4,112.86,114.21,58130,0.0060782241014798455
2014-09-12,114.13,114.13,112.58,112.99,54729,-0.010682076875930258
2014-09-15,112.98,112.98,111.86,112.02,96013,-0.008584830515974806
2014-09-16,111.68,112.72,111.63,112.49,56073,0.00419567934297449
2014-09-17,112.54,113.11,112.22,112.56,47153,0.000622277535780924
2014-09-18,112.95,113.19,112.73,113.11,46315,0.004886282871357395
2014-09-19,113.58,113.59,111.55,111.81,73224,-0.011493236672265872
2014-09-22,111.32,111.32,110.3,110.52,62949,-0.011537429568017177
2014-09-23,110.11,110.65,109.38,109.38,83358,-0.010314875135722046
2014-09-24,109.11,109.69,108.53,109.58,134355,0.0018284878405558924
2014-09-25,109.34,109.53,107.63,108.07,253838,-0.013779886840664446
2014-09-26,108.33,108.83,108.01,108.7,100033,0.005829554918108659
2014-09-29,107.55,108.81,107.52,108.55,64891,-0.001379944802207933
2014-09-30,108.49,108.6,107.29,107.29,61426,-0.011607554122524122
2014-10-01,107.14,107.29,105.67,105.93,270177,-0.012675925062913596
2014-10-02,105.95,107.19,105.41,106.81,95916,0.008307372793354029
2014-10-03,107.38,107.96,107.03,107.33,396997,0.004868458009549714
2014-10-06,107.7,107.87,106.5,106.56,88559,-0.007174135842727969
2014-10-07,106.0,106.35,105.0,105.01,95565,-0.014545795795795735
2014-10-08,104.85,107.15,104.27,107.09,121523,0.019807637367869724
2014-10-09,107.13,107.2,104.79,104.8,65061,-0.02138388271547298
2014-10-10,104.43,105.58,103.68,103.78,93403,-0.009732824427480913
2014-10-13,103.97,105.17,103.47,103.65,119940,-0.001252649836191888
2014-10-14,104.54,106.13,104.25,105.02,186831,0.013217559093101627
2014-10-15,103.73,106.06,103.01,105.63,156757,0.005808417444296277
2014-10-16,104.41,107.05,103.5,106.36,235267,0.00691091545962319
2014-10-17,108.1,108.1,105.46,105.87,666930,-0.004606995110943868
2014-10-20,105.71,107.23,105.66,107.23,99289,0.012845943137810512
2014-10-21,107.77,109.03,107.38,108.87,111995,0.015294227361745794
2014-10-22,109.17,109.67,107.69,107.73,121229,-0.010471204188481686
2014-10-23,108.69,109.99,108.58,109.36,141274,0.015130418639190513
2014-10-24,109.48,109.76,109.06,109.63,76019,0.002468910021945936
2014-10-27,109.36,109.57,108.36,109.55,63029,-0.0007297272644348762
2014-10-28,110.0,112.6,110.0,112.59,162145,0.02774988589685079
2014-10-29,112.87,113.49,111.82,112.59,87133,0.0
2014-10-30,112.09,113.69,111.84,113.33,571585,0.006572519761968154
2014-10-31,114.91,115.02,114.2,114.94,110551,0.01420630018529967
2014-11-03,115.0,115.51,114.54,114.87,88072,-0.0006090133982946666
2014-11-04,114.41,114.9,113.97,114.58,340917,-0.002524593018194521
2014-11-05,115.59,115.59,114.39,114.94,211204,0.0031419095828242316
2014-11-06,114.86,115.24,114.42,115.17,67859,0.0020010440229685234
2014-11-07,115.15,115.37,114.57,115.37,113616,0.001736563341147912
2014-11-10,115.42,115.7,115.09,115.65,96447,0.0024269740833839926
2014-11-11,115.55,115.76,115.35,115.68,59816,0.00025940337224383825
2014-11-12,115.29,116.6,115.29,116.48,94384,0.006915629322268302
2014-11-13,116.46,116.8,115.39,115.63,71764,-0.007297390109890167
2014-11-14,115.66,115.8,115.25,115.36,73834,-0.0023350341606849234
2014-11-17,115.31,115.47,114.47,114.51,127279,-0.007368238557558859
2014-11-18,114.91,115.47,114.87,115.02,98550,0.00445375949698712
2014-11-19,114.91,114.91,113.28,114.01,136686,-0.00878108155103452
2014-11-20,113.48,115.24,113.48,115.19,165980,0.010349969300938344
2014-11-21,116.61,116.61,114.95,115.3,79588,0.0009549440055560687
2014-11-24,115.43,116.5,115.43,116.5,120741,0.01040763226366015
2014-11-25,116.64,117.06,116.04,116.44,83149,-0.0005150214592274382
2014-11-26,116.43,116.83,116.28,116.81,38858,0.003177602198557228
2014-11-28,116.77,116.95,115.48,115.49,36056,-0.01130040236281149
2014-12-01,114.92,115.01,113.9,113.92,144806,-0.013594250584466172
2014-12-02,113.96,115.45,113.9,114.94,96130,0.008953651685393194
2014-12-03,114.85,116.43,114.78,116.1,106795,0.010092222028884601
2014-12-04,115.9,116.0,115.0,115.64,79011,-0.003962101636520221
2014-12-05,115.92,116.61,115.85,116.3,98811,0.00570736769283986
2014-12-08,116.06,116.86,114.63,114.94,93182,-0.01169389509888219
2014-12-09,113.8,116.79,113.33,116.78,75948,0.016008352183747965
