Date,Open,High,Low,Close,Volume,SHV Percent Change
2011-01-28,110.21,110.24,110.21,110.22,248217,9.073586788854726e-05
2011-01-31,110.21,110.23,110.2,110.22,427599,0.0
2011-02-01,110.21,110.23,110.2,110.23,155943,9.072763563788833e-05
2011-02-02,110.23,110.23,110.21,110.22,9209,-9.07194048807014e-05
2011-02-03,110.23,110.23,110.21,110.23,107309,9.072763563788833e-05
2011-02-04,110.21,110.21,110.2,110.2,8952,-0.0002721582146421042
2011-02-07,110.2,110.22,110.2,110.22,30901,0.00018148820326668869
2011-02-08,110.21,110.23,110.21,110.22,614240,0.0
2011-02-09,110.22,110.23,110.22,110.23,8336,9.072763563788833e-05
2011-02-10,110.22,110.23,110.22,110.23,31318,0.0
2011-02-11,110.22,110.23,110.22,110.22,291649,-9.07194048807014e-05
2011-02-14,110.22,110.23,110.22,110.22,12769,0.0
2011-02-15,110.22,110.23,110.21,110.21,5105,-9.072763563788833e-05
2011-02-16,110.22,110.24,110.22,110.24,5462,0.0002722076036656418
2011-02-17,110.24,110.24,110.23,110.24,41358,0.0
2011-02-18,,,,110.22,0,-0.00018142235123363992
2011-02-22,110.21,110.22,110.21,110.22,16172,0.0
2011-02-23,110.21,110.24,110.2,110.2,27661,-0.0001814552712755546
2011-02-24,110.2,110.22,110.2,110.21,27409,9.074410163334434e-05
2011-02-25,110.21,110.23,110.21,110.23,19866,0.00018147173577731657
2011-02-28,110.21,110.22,110.2,110.22,39906,-9.07194048807014e-05
2011-03-01,110.21,110.22,110.2,110.2,51482,-0.0001814552712755546
2011-03-02,110.2,110.21,110.2,110.2,9028,0.0
2011-03-03,110.2,110.21,110.2,110.2,30272,0.0
2011-03-04,110.21,110.21,110.2,110.2,23394,0.0
2011-03-07,110.2,110.21,110.2,110.21,18650,9.074410163334434e-05
2011-03-08,110.21,110.22,110.2,110.2,34592,-9.073586788854726e-05
2011-03-09,110.22,110.24,110.21,110.24,50407,0.0003629764065335994
2011-03-10,110.22,110.25,110.22,110.25,90472,9.07111756169865e-05
2011-03-11,110.22,110.25,110.21,110.24,35495,-9.070294784585542e-05
2011-03-14,110.22,110.25,110.22,110.25,26937,9.07111756169865e-05
2011-03-15,110.22,110.25,110.22,110.24,126117,-9.070294784585542e-05
2011-03-16,110.22,110.25,110.22,110.22,48420,-0.00018142235123363992
2011-03-17,110.22,110.24,110.22,110.22,14012,0.0
2011-03-18,110.22,110.25,110.22,110.25,34209,0.00027218290691344293
2011-03-21,110.24,110.24,110.22,110.24,18972,-9.070294784585542e-05
2011-03-22,110.22,110.23,110.22,110.22,47455,-0.00018142235123363992
2011-03-23,110.22,110.25,110.22,110.25,15998,0.00027218290691344293
2011-03-24,110.23,110.24,110.22,110.23,22048,-0.00018140589569159982
2011-03-25,110.23,110.25,110.23,110.24,31258,9.07194048807014e-05
